season,method,n,runtime_sec,model_applicable,applicability_reason,pred_directed_edges,pred_undirected_edges,n_pred_directed_edges,n_pred_undirected_edges,skeleton_precision,skeleton_recall,skeleton_f1,skeleton_tp,skeleton_fp,skeleton_fn,directed_precision,directed_recall,directed_f1,directed_tp,directed_fp,directed_fn,exact_recovery
2019-20,ODS,8448,2.5382409999729134,True,,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.8,1.0,0.888888888888889,4,1,0,False
2019-20,PC (RCIT),8448,4.611559299984947,True,,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",FOUL--FTA,5,1,0.6666666666666666,1.0,0.8,4,2,0,0.2,0.25,0.22222222222222224,1,4,3,False
2019-20,PB-SCM (Cumulant),8448,1.9393778999801725,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,"FOUL->FTA, FOUL->PERS_FOUL_DRAWN",FOUL--LOOSE_BALL_FOUL_DRAWN,2,1,1.0,0.75,0.8571428571428571,3,0,1,1.0,0.5,0.6666666666666666,2,0,2,False
2019-20,PB-SCM (PGF),8448,0.5643996999715455,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTM, FTA->FTM","FOUL--FTA, FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN",2,3,0.8,1.0,0.888888888888889,4,1,0,0.5,0.25,0.3333333333333333,1,1,3,False
2020-21,ODS,8640,2.315238400013186,True,,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.8,1.0,0.888888888888889,4,1,0,False
2020-21,PC (RCIT),8640,4.497015699977055,True,,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",FOUL--FTA,5,1,0.6666666666666666,1.0,0.8,4,2,0,0.2,0.25,0.22222222222222224,1,4,3,False
2020-21,PB-SCM (Cumulant),8640,1.3206313999835402,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,"FOUL->PERS_FOUL_DRAWN, LOOSE_BALL_FOUL_DRAWN->FOUL",(none),2,0,1.0,0.5,0.6666666666666666,2,0,2,0.5,0.25,0.3333333333333333,1,1,3,False
2020-21,PB-SCM (PGF),8640,0.5517734999884851,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTA, FOUL->FTM, FTA->FTM, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",(none),5,0,0.6,0.75,0.6666666666666665,3,2,1,0.4,0.5,0.4444444444444445,2,3,2,False
2021-22,ODS,9840,2.8590723000233993,True,,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.8,1.0,0.888888888888889,4,1,0,False
2021-22,PC (RCIT),9840,5.99434159998782,True,,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, LOOSE_BALL_FOUL_DRAWN->FTM, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",FOUL--FTA,6,1,0.5714285714285714,1.0,0.7272727272727273,4,3,0,0.16666666666666666,0.25,0.2,1,5,3,False
2021-22,PB-SCM (Cumulant),9840,1.3976486999890767,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,"LOOSE_BALL_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FOUL",(none),2,0,1.0,0.5,0.6666666666666666,2,0,2,0.0,0.0,0.0,0,2,4,False
2021-22,PB-SCM (PGF),9840,0.6243512000073679,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTM, FOUL->PERS_FOUL_DRAWN, FTA->FOUL, FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.4,0.5,0.4444444444444445,2,3,2,False
2022-23,ODS,9840,3.190430100017693,True,,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.8,1.0,0.888888888888889,4,1,0,False
2022-23,PC (RCIT),9840,5.252759700000752,True,,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, LOOSE_BALL_FOUL_DRAWN->FTM, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",FOUL--FTA,6,1,0.5714285714285714,1.0,0.7272727272727273,4,3,0,0.16666666666666666,0.25,0.2,1,5,3,False
2022-23,PB-SCM (Cumulant),9840,0.8328965000109747,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,FOUL->PERS_FOUL_DRAWN,(none),1,0,1.0,0.25,0.4,1,0,3,1.0,0.25,0.4,1,0,3,False
2022-23,PB-SCM (PGF),9840,0.6311424000305124,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTM, FOUL->LOOSE_BALL_FOUL_DRAWN, FTA->FOUL, FTA->FTM, PERS_FOUL_DRAWN->FOUL",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.4,0.5,0.4444444444444445,2,3,2,False
2023-24,ODS,9840,2.997409500007052,True,,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.8,1.0,0.888888888888889,4,1,0,False
2023-24,PC (RCIT),9840,5.605390700045973,True,,"FTA->FOUL, FTA->FTM, FTM->FOUL, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",(none),7,0,0.5714285714285714,1.0,0.7272727272727273,4,3,0,0.14285714285714285,0.25,0.18181818181818182,1,6,3,False
2023-24,PB-SCM (Cumulant),9840,1.740827699948568,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,"FOUL->FTA, FOUL->PERS_FOUL_DRAWN",FOUL--LOOSE_BALL_FOUL_DRAWN,2,1,1.0,0.75,0.8571428571428571,3,0,1,1.0,0.5,0.6666666666666666,2,0,2,False
2023-24,PB-SCM (PGF),9840,0.5636299999896437,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTM, FOUL->PERS_FOUL_DRAWN, FTA->FOUL, FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.4,0.5,0.4444444444444445,2,3,2,False
2024-25,ODS,9840,2.8477563000051305,True,,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.8,1.0,0.888888888888889,4,1,0,False
2024-25,PC (RCIT),9840,5.039319999981672,True,,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",FOUL--FTA,5,1,0.6666666666666666,1.0,0.8,4,2,0,0.2,0.25,0.22222222222222224,1,4,3,False
2024-25,PB-SCM (Cumulant),9840,2.130848300002981,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,"FOUL->FTA, FOUL->PERS_FOUL_DRAWN",FOUL--LOOSE_BALL_FOUL_DRAWN,2,1,1.0,0.75,0.8571428571428571,3,0,1,1.0,0.5,0.6666666666666666,2,0,2,False
2024-25,PB-SCM (PGF),9840,0.5931563000194728,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTA, FOUL->FTM, FTA->FTM, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",(none),5,0,0.6,0.75,0.6666666666666665,3,2,1,0.4,0.5,0.4444444444444445,2,3,2,False
