season,file_name,file_found,readable,required_fields_available,number_of_raw_rows,n_team_quarters,no_FOUL_positive_subtype_proportion,FTM_gt_FTA_count,negative_count_count,max_period,anomaly_flags,qa_pass,notes,FOUL_mean,FOUL_variance,FOUL_zero_proportion,FTA_mean,FTA_variance,FTA_zero_proportion,FTM_mean,FTM_variance,FTM_zero_proportion,PERS_mean,PERS_variance,PERS_zero_proportion,LOOSE_mean,LOOSE_variance,LOOSE_zero_proportion
2015-16,nbastats_2015.csv,True,True,True,568411,9840,0.0,0,0,4,none,True,34 columns; exact header match to 2015,4.6154471544715445,4.245640007370701,0.007215447154471545,5.78089430894309,13.971298722439402,0.053455284552845525,4.37530487804878,9.0140257226716,0.07164634146341463,1.8645325203252032,2.180752296940085,0.16422764227642275,0.29715447154471547,0.307462173513899,0.7461382113821138
2016-17,nbastats_2016.csv,True,True,True,567447,9840,0.0,0,0,4,none,True,34 columns; exact header match to 2015,4.5354674796747965,4.072733189307195,0.0065040650406504065,5.71859756097561,13.386299079819237,0.05101626016260163,4.413821138211382,9.093090794308695,0.07052845528455284,1.7247967479674797,1.9136852925598067,0.18221544715447155,0.31290650406504067,0.3113691303977782,0.7310975609756097
2017-18,nbastats_2017.csv,True,True,True,562110,9840,0.0,0,0,4,none,True,34 columns; exact header match to 2015,4.521951219512195,3.8826362980572586,0.005691056910569106,5.37540650406504,12.536563509907891,0.060060975609756095,4.124390243902439,8.413227598481901,0.08048780487804878,1.8879065040650407,2.0078626764898613,0.15548780487804878,0.2840447154471545,0.2802210611164959,0.7514227642276423
2018-19,nbastats_2018.csv,True,True,True,582577,9840,0.0,0,0,4,none,True,34 columns; exact header match to 2015,4.732926829268293,3.9095570390605827,0.004573170731707317,5.717479674796748,13.334342259979161,0.05040650406504065,4.381707317073171,8.964356877434003,0.06910569105691057,1.9747967479674797,1.9715163729541552,0.13495934959349593,0.30121951219512194,0.3052327844144383,0.7415650406504065
2019-20,nbastats_2019.csv,True,True,True,502520,8448,0.0,0,0,4,none,True,34 columns; exact header match to 2015,4.648200757575758,4.007156700783136,0.005681818181818182,5.717684659090909,13.530446065103803,0.050899621212121215,4.419744318181818,9.39547610367317,0.07267992424242424,1.8771306818181819,1.9600404460432428,0.15364583333333334,0.29462594696969696,0.2971085613818426,0.7459753787878788
2020-21,nbastats_2020.csv,True,True,True,499461,8640,0.0,0,0,4,none,True,34 columns; exact header match to 2015,4.373842592592593,3.7326644780560168,0.008564814814814815,5.411111111111111,12.147208396033491,0.05590277777777778,4.206365740740741,8.361274439664227,0.07731481481481481,1.7056712962962963,1.8067510251743812,0.184375,0.24363425925925927,0.2410174654774,0.7829861111111112
2021-22,nbastats_2021.csv,True,True,True,570363,9840,0.0,0,0,4,none,True,34 columns; exact header match to 2015,4.46890243902439,3.677048901955632,0.007621951219512195,5.427134146341463,12.25752161631536,0.06219512195121951,4.204979674796748,8.411785343625873,0.08140243902439025,1.7958333333333334,1.8439708473083307,0.16626016260162602,0.27266260162601624,0.2743618497649556,0.7623983739837399
2022-23,nbastats_2022.csv,True,True,True,574410,9840,0.0,0,0,4,none,True,34 columns; exact header match to 2015,4.475508130081301,3.8579222948825684,0.008028455284552845,5.82479674796748,12.516307510264859,0.04237804878048781,4.553455284552846,8.757382103905396,0.05965447154471545,1.4984756097560976,1.617031927446523,0.2342479674796748,0.2915650406504065,0.29459293610874926,0.7486788617886179
2023-24,nbastats_2023.csv,True,True,True,567665,9840,0.0,0,0,4,none,True,34 columns; exact header match to 2015,4.264126016260162,3.811620742325423,0.01016260162601626,5.389329268292683,12.089387089457334,0.05457317073170732,4.227032520325203,8.368005828803081,0.07378048780487804,1.497459349593496,1.6324765203516454,0.23323170731707318,0.27469512195121953,0.2742655844461687,0.7592479674796748
2024-25,nbastats_2024.csv,True,True,True,574360,9840,0.0,0,0,4,none,True,34 columns; exact header match to 2015,4.278760162601626,3.6510174686435346,0.009247967479674797,5.376422764227642,11.789178786594249,0.05060975609756098,4.192784552845528,8.085911952764715,0.07022357723577236,1.5018292682926828,1.5525934620561777,0.22052845528455284,0.2943089430894309,0.29329010070261285,0.7443089430894309
