dataset,unit,season,n,estimator,child,child_index,parent_set,parent_mask,family,bic,loglik,alpha,params,parameter_count,success,status,nit,nfev,starts,moment_loglik,loglik_improvement,runtime_sec,diagnostics
foul_leaves_5_team,team-quarter,2023-24,9840,optimization,FOUL,0,,0,Poisson,40764.91147494874,-20377.858631979347,[],"{""lam"": 4.264126016260162}",1,True,analytic_mle,0,1,0,-20377.858631979347,0.0,0.0013852999545633793,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""solver_path"": ""analytic_root"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2023-24,9840,optimization,FOUL,0,,0,NB,40774.116137489924,-20377.863857754917,[],"{""p"": 0.9999900000000642, ""r"": 426408.3962736406}",2,True,optimizer_converged_lbfgsb,2,26,2,-20377.863857755307,3.892637323588133e-10,0.11129500000970438,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 20377.863857754917, ""jac"": [-0.00036379785060840214, -0.005456967759126033], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 12, ""nit"": 1, ""status"": 0, ""success"": true, ""x"": [12.963152842713171, 11.51291547133546]}, {""fun"": 20377.863857754917, ""jac"": [-0.00036379785060840214, -0.005456967759126033], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 12, ""nit"": 1, ""status"": 0, ""success"": true, ""x"": [12.963152842713171, 11.51291547133546]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2023-24,9840,optimization,FOUL,0,,0,ZIP,40774.10569139823,-20377.85863470907,[],"{""lam"": 4.264126076310974, ""rho"": 1.0000000000000007e-09}",2,True,optimizer_converged_lbfgsb,2,32,2,-20377.85863470907,0.0,0.042217499983962625,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 20377.85863470907, ""jac"": [0.0003637978829201424, 0.0], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 15, ""nit"": 1, ""status"": 0, ""success"": true, ""x"": [1.450237254041574, -20.72326583594641]}, {""fun"": 20377.85863470907, ""jac"": [0.0003637978829201424, 0.0], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 15, ""nit"": 1, ""status"": 0, ""success"": true, ""x"": [1.450237254041574, -20.72326583594641]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2023-24,9840,optimization,FOUL,0,,0,Geom,50375.67145621006,-25183.238622610006,[],"{""p"": 0.1899650572404873}",1,True,analytic_mle,0,1,0,-25183.238622610006,0.0,0.001256900024600327,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""solver_path"": ""analytic_root"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2023-24,9840,optimization,FOUL,0,,0,Binomial,40706.26612250448,-20348.535955757216,[],"{""n"": 40, ""p"": 0.10660315040650406}",1,True,analytic_mle,0,1,0,-20348.535955757216,0.0,0.006370500021148473,"{""binomial_discrete_residual_mean"": 4.264126016260162, ""binomial_discrete_residual_variance"": 3.8112333824938864, ""binomial_h_extension_used"": false, ""binomial_n_candidates"": 1, ""binomial_n_max"": 40, ""binomial_n_min"": 40, ""binomial_n_policy"": ""paper_H_binomial_discrete_index_continuous_full_mle"", ""binomial_n_tie_break"": ""not_applicable_single_mom_index"", ""certified_profiles"": 1, ""solver_path"": ""analytic_root"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2023-24,9840,optimization,FOUL,0,,0,Bernoulli,inf,-inf,[],{},1,False,infeasible_root_support,0,0,0,-inf,0.0,0.0002145000034943223,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 0, ""solver_path"": ""analytic_root"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2023-24,9840,optimization,FOUL,0,FTA,2,Poisson,34698.91517229352,-17340.263375156715,[0.4737165513285275],"{""lam"": 1.711111541329592}",2,True,poisson_convex_mle,15,22,2,-17340.297525647075,0.03415049035902484,0.059885599999688566,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 17340.263375156715, ""jac"": [9.005764689540285e-09, 3.6081431686874055e-07], ""message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""method"": ""L-BFGS-B"", ""nfev"": 7, ""nit"": 4, ""status"": 0, ""success"": true, ""x"": [1.711111541329592, 0.4737165513285275]}, {""fun"": 17340.26337515672, ""jac"": [1.3747007463038585e-05, 2.2616392096885818e-06], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 13, ""nit"": 11, ""status"": 0, ""success"": true, ""x"": [1.7111115549072908, 0.4737165492694141]}], ""poisson_canonical_agreement_abs"": 0.0, ""solver_path"": ""poisson_convex"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2023-24,9840,optimization,FOUL,0,FTA,2,NB,34708.13295205662,-17340.275159543242,[0.47371824962270587],"{""p"": 0.9999918862599566, ""r"": 210887.88535160184}",3,True,optimizer_converged_lbfgsb,12,70,2,-17340.31200025923,0.03684071598763694,0.3334189999732189,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 17340.27793318337, ""jac"": [-0.0018189894045032922, -0.009094946265210055, -0.012732924771294075], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 28, ""nit"": 4, ""status"": 0, ""success"": true, ""x"": [0.47371832171049605, 12.047713621725691, 11.510575611658243]}, {""fun"": 17340.275159543242, ""jac"": [0.0043655745708079015, 0.002910382804867217, -0.005820765609734434], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 40, ""nit"": 8, ""status"": 0, ""success"": true, ""x"": [0.47371824962270587, 12.259081922197733, 11.721943517959291]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2023-24,9840,optimization,FOUL,0,FTA,2,ZIP,34708.10938891369,-17340.263377971776,[0.47371654236684985],"{""lam"": 1.7111115604513203, ""rho"": 1.0000000000000007e-09}",3,True,optimizer_converged_lbfgsb,13,70,2,-17340.297528444946,0.03415047316957498,0.13073139998596162,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 17340.263377971776, ""jac"": [-0.0003637978809006584, 0.0, 0.0], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 24, ""nit"": 4, ""status"": 0, ""success"": true, ""x"": [0.47371654236684985, 0.5371431946847506, -20.72326583594641]}, {""fun"": 17340.263377971867, ""jac"": [0.0021827872854039507, 0.0010913936366435237, 0.0], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 44, ""nit"": 9, ""status"": 0, ""success"": true, ""x"": [0.47371651231991896, 0.5371434141787227, -20.723265825800738]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2023-24,9840,optimization,FOUL,0,FTA,2,Geom,36737.39028352316,-18359.500930771534,[0.6370654959661572],"{""p"": 0.5462181799330255}",2,True,optimizer_converged_lbfgsb,18,74,2,-19077.21663136743,717.7157005958979,0.1668061999953352,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 18359.50093077182, ""jac"": [0.0018189893944058726, 0.0007275957618013168], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 33, ""nit"": 9, ""status"": 0, ""success"": true, ""x"": [0.6370655780661533, 0.18540256300732127]}, {""fun"": 18359.500930771534, ""jac"": [0.0003637978788811745, 0.0], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 39, ""nit"": 9, ""status"": 0, ""success"": true, ""x"": [0.6370654959661572, 0.18540198288458876]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
