setting,regime,sweep,sweep_value,method,expected_R,R_total,R_success,R_failed,mean_F1,sd_F1,se_F1,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high,mean_runtime_sec
all_poisson,restricted,dimension,4.0,Proposed DP-BIC,100,100,100,0,0.9537272727272728,0.10850594364260059,0.01085059436426006,0.932460107773323,0.9749944376812225,0.932460107773323,0.9749944376812225,0.2458921060018474
all_poisson,restricted,dimension,4.0,Greedy-BIC,100,100,100,0,0.7737979797979798,0.2631687716822576,0.026316877168225762,0.7222169005482573,0.8253790590477024,0.7222169005482573,0.8253790590477024,0.2075681819987949
all_poisson,restricted,dimension,4.0,Poisson-only DP,100,100,100,0,0.9845454545454545,0.0542667094524176,0.00542667094524176,0.9739091794927807,0.9951817295981283,0.9739091794927807,0.9951817295981283,0.009588599003036455
all_poisson,restricted,dimension,4.0,ODS,100,100,100,0,0.9238888888888889,0.14383539275443383,0.014383539275443382,0.8956971519090199,0.9520806258687579,0.8956971519090199,0.9520806258687579,0.20057572100078688
all_poisson,restricted,dimension,4.0,PC-RCIT,100,100,100,0,0.044444444444444446,0.14125371692527294,0.014125371692527294,0.01675871592709095,0.07213017296179794,0.01675871592709095,0.07213017296179794,0.6255788869972457
all_poisson,restricted,dimension,4.0,PB-SCM,100,100,100,0,0.5906450216450216,0.20413750212617693,0.020413750212617692,0.550634071228291,0.6306559720617523,0.550634071228291,0.6306559720617523,1.704134321998863
all_poisson,restricted,dimension,4.0,PB-SCM-PGF,100,100,100,0,0.0025,0.024999999999999998,0.0024999999999999996,-0.002399999999999999,0.007399999999999999,0.0,0.007399999999999999,0.05702237799967401
all_poisson,restricted,dimension,5.0,Proposed DP-BIC,100,100,100,0,0.9750686274509803,0.05660236808755204,0.005660236808755204,0.9639745633058201,0.9861626915961406,0.9639745633058201,0.9861626915961406,0.7511461030013743
all_poisson,restricted,dimension,5.0,Greedy-BIC,100,100,100,0,0.7344291639732816,0.2627347629450456,0.02627347629450456,0.6829331504360527,0.7859251775105105,0.6829331504360527,0.7859251775105105,0.42486238099721957
all_poisson,restricted,dimension,5.0,Poisson-only DP,100,100,100,0,0.9862450980392157,0.03830168908133236,0.003830168908133236,0.9787379669792745,0.9937522290991568,0.9787379669792745,0.9937522290991568,0.024070724998309697
all_poisson,restricted,dimension,5.0,ODS,100,100,100,0,0.9146125116713353,0.10168927966451184,0.010168927966451184,0.894681412857091,0.9345436104855795,0.894681412857091,0.9345436104855795,0.2976972029992612
all_poisson,restricted,dimension,5.0,PC-RCIT,100,100,100,0,0.38397885447885444,0.29558557489585935,0.029558557489585933,0.32604408179926603,0.44191362715844285,0.32604408179926603,0.44191362715844285,1.9556595650003874
all_poisson,restricted,dimension,5.0,PB-SCM,100,100,100,0,0.5742893707599589,0.20508561894276783,0.020508561894276783,0.5340925894471764,0.6144861520727414,0.5340925894471764,0.6144861520727414,3.6004718379996485
all_poisson,restricted,dimension,5.0,PB-SCM-PGF,100,100,100,0,0.012222222222222223,0.063121211313002,0.006312121131300199,-0.00014953519512616795,0.024593979639570614,0.0,0.024593979639570614,0.12596603600075465
all_poisson,restricted,dimension,6.0,Proposed DP-BIC,100,100,100,0,0.9866666666666666,0.04261088759476465,0.004261088759476465,0.9783149326980927,0.9950184006352405,0.9783149326980927,0.9950184006352405,1.8988513589987996
all_poisson,restricted,dimension,6.0,Greedy-BIC,100,100,100,0,0.830705194358445,0.22162805852626521,0.022162805852626522,0.787266094887297,0.874144293829593,0.787266094887297,0.874144293829593,0.6716222699996434
all_poisson,restricted,dimension,6.0,Poisson-only DP,100,100,100,0,0.9977777777777778,0.015633921570698858,0.0015633921570698858,0.9947135291499208,1.0008420264056348,0.9947135291499208,1.0,0.05735404800099782
all_poisson,restricted,dimension,6.0,ODS,100,100,100,0,0.841373040444248,0.1253512979648467,0.01253512979648467,0.816804186043138,0.865941894845358,0.816804186043138,0.865941894845358,0.35856298799888464
all_poisson,restricted,dimension,6.0,PC-RCIT,100,100,100,0,0.49709349637290806,0.27308960913351177,0.027308960913351176,0.4435679329827398,0.5506190597630763,0.4435679329827398,0.5506190597630763,3.3478800630001935
all_poisson,restricted,dimension,6.0,PB-SCM,100,100,100,0,0.5075974483033306,0.18263858859185467,0.018263858859185467,0.47180028493932713,0.5433946116673342,0.47180028493932713,0.5433946116673342,5.3404415540007175
all_poisson,restricted,dimension,6.0,PB-SCM-PGF,100,100,100,0,0.003636363636363636,0.02558278075205267,0.002558278075205267,-0.0013778613910386873,0.00865058866376596,0.0,0.00865058866376596,0.2162723509996431
all_poisson,restricted,dimension,7.0,Proposed DP-BIC,100,100,100,0,0.9749373433583961,0.049059722381610285,0.004905972238161029,0.9653216377716005,0.9845530489451917,0.9653216377716005,0.9845530489451917,4.634488164000214
all_poisson,restricted,dimension,7.0,Greedy-BIC,100,100,100,0,0.8241461362854552,0.21818816026001964,0.021818816026001962,0.7813812568744913,0.866911015696419,0.7813812568744913,0.866911015696419,0.9433869990007951
all_poisson,restricted,dimension,7.0,Poisson-only DP,100,100,100,0,0.9849899749373435,0.0354254146873575,0.00354254146873575,0.9780465936586215,0.9919333562160656,0.9780465936586215,0.9919333562160656,0.13942770900001047
all_poisson,restricted,dimension,7.0,ODS,100,100,100,0,0.8068258794769093,0.11850585405027222,0.011850585405027222,0.783598732083056,0.8300530268707627,0.783598732083056,0.8300530268707627,0.40874316200002797
all_poisson,restricted,dimension,7.0,PC-RCIT,100,100,100,0,0.5457473510321806,0.22101680820165015,0.022101680820165014,0.5024280566246572,0.5890666454397041,0.5024280566246572,0.5890666454397041,5.256932761001226
all_poisson,restricted,dimension,7.0,PB-SCM,100,100,100,0,0.4676055795769418,0.16010541277187632,0.01601054127718763,0.4362249186736541,0.49898624048022955,0.4362249186736541,0.49898624048022955,7.522371170999249
all_poisson,restricted,dimension,7.0,PB-SCM-PGF,100,100,100,0,0.021410256410256404,0.07254792010746179,0.0072547920107461795,0.007190864069193894,0.03562964875131892,0.007190864069193894,0.03562964875131892,0.34624775899923405
all_poisson,restricted,dimension,8.0,Proposed DP-BIC,100,100,100,0,0.9841579710144929,0.03655577493894001,0.003655577493894001,0.9769930391264606,0.9913229029025251,0.9769930391264606,0.9913229029025251,11.313263413998357
all_poisson,restricted,dimension,8.0,Greedy-BIC,100,100,100,0,0.7861304016434453,0.22794736412465605,0.022794736412465606,0.7414527182750127,0.8308080850118779,0.7414527182750127,0.8308080850118779,1.3780275090012584
all_poisson,restricted,dimension,8.0,Poisson-only DP,100,100,100,0,0.9904666666666668,0.028256560673583193,0.002825656067358319,0.9849283807746445,0.9960049525586891,0.9849283807746445,0.9960049525586891,0.3101428140010103
all_poisson,restricted,dimension,8.0,ODS,100,100,100,0,0.7582554181339788,0.1437173246012928,0.01437173246012928,0.7300868225121254,0.7864240137558322,0.7300868225121254,0.7864240137558322,0.49811362699809253
all_poisson,restricted,dimension,8.0,PC-RCIT,100,100,100,0,0.5649630277254789,0.19875659243679072,0.019875659243679074,0.5260067356078679,0.6039193198430899,0.5260067356078679,0.6039193198430899,7.689084923999035
all_poisson,restricted,dimension,8.0,PB-SCM,100,100,100,0,0.48203731209488376,0.14957964807778587,0.014957964807778588,0.4527197010716377,0.5113549231181298,0.4527197010716377,0.5113549231181298,11.967448370998609
all_poisson,restricted,dimension,8.0,PB-SCM-PGF,100,100,100,0,0.01954761904761904,0.059304835317733486,0.005930483531773349,0.007923871325343276,0.031171366769894803,0.007923871325343276,0.031171366769894803,0.531881231002044
all_poisson,restricted,dimension,9.0,Proposed DP-BIC,100,100,100,0,0.9797562207907036,0.042489338385153924,0.004248933838515392,0.9714283104672135,0.9880841311141937,0.9714283104672135,0.9880841311141937,27.0939084189976
all_poisson,restricted,dimension,9.0,Greedy-BIC,100,100,100,0,0.7837567146918092,0.23722033133910356,0.023722033133910355,0.7372615297493449,0.8302518996342735,0.7372615297493449,0.8302518996342735,1.7774842559997341
all_poisson,restricted,dimension,9.0,Poisson-only DP,100,100,100,0,0.9870587203345823,0.02919050025938909,0.0029190500259389093,0.981337382283742,0.9927800583854226,0.981337382283742,0.9927800583854226,0.7081357949998346
all_poisson,restricted,dimension,9.0,ODS,100,100,100,0,0.7365088651455531,0.1406717164496374,0.014067171644963742,0.7089372087214242,0.7640805215696821,0.7089372087214242,0.7640805215696821,0.6209595709989663
