dataset,unit,season,n,estimator,child,child_index,parent_set,parent_mask,family,bic,loglik,alpha,params,parameter_count,success,status,nit,nfev,starts,moment_loglik,loglik_improvement,runtime_sec,diagnostics
foul_leaves_5_team,team-quarter,2016-17,9840,optimization,FOUL,0,,0,Poisson,41401.056005651444,-20695.930897330698,[],"{""lam"": 4.5354674796747965}",1,True,analytic_mle,0,1,0,-20695.930897330698,0.0,0.00211130001116544,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""solver_path"": ""analytic_root"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2016-17,9840,optimization,FOUL,0,,0,NB,41410.26026544658,-20695.935921733246,[],"{""p"": 0.9999899999996881, ""r"": 453542.2407985102}",2,True,optimizer_converged_lbfgsb,2,20,2,-20695.935921733333,8.731149137020111e-11,0.09595300001092255,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 20695.935921733246, ""jac"": [0.0, -0.002182787103650413], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 9, ""nit"": 1, ""status"": 0, ""success"": true, ""x"": [13.024843688187591, 11.51291543372984]}, {""fun"": 20695.935921733246, ""jac"": [0.0, -0.002182787103650413], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 9, ""nit"": 1, ""status"": 0, ""success"": true, ""x"": [13.024843688187591, 11.51291543372984]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2016-17,9840,optimization,FOUL,0,,0,ZIP,41410.25022438329,-20695.930901201602,[],"{""lam"": 4.5354674796747965, ""rho"": 1.0000000000000007e-09}",2,True,optimizer_converged_lbfgsb,0,8,2,-20695.930901201602,0.0,0.009505000023636967,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 20695.930901201602, ""jac"": [0.0, 0.0], ""message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""method"": ""L-BFGS-B"", ""nfev"": 3, ""nit"": 0, ""status"": 0, ""success"": true, ""x"": [1.5119281608729296, -20.72326583594641]}, {""fun"": 20695.930901201602, ""jac"": [0.0, 0.0], ""message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""method"": ""L-BFGS-B"", ""nfev"": 3, ""nit"": 0, ""status"": 0, ""success"": true, ""x"": [1.5119281608729296, -20.72326583594641]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2016-17,9840,optimization,FOUL,0,,0,Geom,51469.603850697276,-25730.204819853614,[],"{""p"": 0.1806532155905194}",1,True,analytic_mle,0,1,0,-25730.204819853614,0.0,0.0009304999839514494,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""solver_path"": ""analytic_root"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2016-17,9840,optimization,FOUL,0,,0,Binomial,41347.38458066463,-20669.09518483729,[],"{""n"": 44, ""p"": 0.10307880635624538}",1,True,analytic_mle,0,1,0,-20669.09518483729,0.0,0.0048177000135183334,"{""binomial_discrete_residual_mean"": 4.5354674796747965, ""binomial_discrete_residual_variance"": 4.07231929365788, ""binomial_h_extension_used"": false, ""binomial_n_candidates"": 1, ""binomial_n_max"": 44, ""binomial_n_min"": 44, ""binomial_n_policy"": ""paper_H_binomial_discrete_index_continuous_full_mle"", ""binomial_n_tie_break"": ""not_applicable_single_mom_index"", ""certified_profiles"": 1, ""solver_path"": ""analytic_root"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2016-17,9840,optimization,FOUL,0,,0,Bernoulli,inf,-inf,[],{},1,False,infeasible_root_support,0,0,0,-inf,0.0,0.0002038999809883535,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 0, ""solver_path"": ""analytic_root"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2016-17,9840,optimization,FOUL,0,FTA,2,Poisson,35274.49382739183,-17628.05270270587,[0.4648040333317164],"{""lam"": 1.877440253105686}",2,True,poisson_convex_mle,15,21,2,-17628.324989230714,0.27228652484336635,0.04425099998479709,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 17628.05270270587, ""jac"": [-4.0309747315836475e-05, -0.00015953366641840994], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 6, ""nit"": 4, ""status"": 0, ""success"": true, ""x"": [1.877440253105686, 0.4648040333317164]}, {""fun"": 17628.052702705983, ""jac"": [-0.00015974121193562674, 0.0017517055841020923], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 13, ""nit"": 11, ""status"": 0, ""success"": true, ""x"": [1.8774398193042217, 0.46480412099201923]}], ""poisson_canonical_agreement_abs"": 0.0, ""solver_path"": ""poisson_convex"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2016-17,9840,optimization,FOUL,0,FTA,2,NB,35283.71308462662,-17628.065225828243,[0.4648055941264932],"{""p"": 0.9999917996544689, ""r"": 228943.61036241864}",3,True,optimizer_converged_lbfgsb,12,70,2,-17628.340121894867,0.27489606662493316,0.239337999955751,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 17628.068070570844, ""jac"": [-0.005456968213509877, -0.009094946265210055, -0.006912159161559641], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 28, ""nit"": 4, ""status"": 0, ""success"": true, ""x"": [0.4648055689443663, 12.136528188687537, 11.506623218577875]}, {""fun"": 17628.065225828243, ""jac"": [0.0021827872854039507, -0.012732924771294075, -0.006912159161559641], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 40, ""nit"": 8, ""status"": 0, ""success"": true, ""x"": [0.4648055941264932, 12.34123100925473, 11.711326066278737]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2016-17,9840,optimization,FOUL,0,FTA,2,ZIP,35283.68804481706,-17628.052705923463,[0.4648040498325489],"{""lam"": 1.8774402325925899, ""rho"": 1.0000000000000007e-09}",3,True,optimizer_converged_lbfgsb,13,70,2,-17628.32499239456,0.27228647109586746,0.09247919998597354,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 17628.052705923525, ""jac"": [-0.0021827872854039507, -0.0010913936366435237, 0.0], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 24, ""nit"": 4, ""status"": 0, ""success"": true, ""x"": [0.46480402758391637, 0.6299091801404544, -20.72326581439992]}, {""fun"": 17628.052705923463, ""jac"": [0.0010913936427019754, 0.0, 0.0], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 44, ""nit"": 9, ""status"": 0, ""success"": true, ""x"": [0.4648040498325489, 0.6299092706435118, -20.72326583594641]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2016-17,9840,optimization,FOUL,0,FTA,2,Geom,37546.5838634348,-18764.097720727354,[0.6365774497030643],"{""p"": 0.5276662903569271}",2,True,optimizer_converged_lbfgsb,18,74,2,-19559.999575528123,795.9018548007698,0.12927679996937513,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 18764.09772072863, ""jac"": [0.003274180909930571, 0.0018189894045032922], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 33, ""nit"": 9, ""status"": 0, ""success"": true, ""x"": [0.6365776131304781, 0.11077946077681405]}, {""fun"": 18764.097720727354, ""jac"": [0.0, 0.0], ""message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""method"": ""L-BFGS-B"", ""nfev"": 39, ""nit"": 9, ""status"": 0, ""success"": true, ""x"": [0.6365774497030643, 0.11077831032857498]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
