season,empirical_FTM_over_FTA,alpha_FTA_to_FTM,FTM_exogenous_mean,FTM_working_family
2015-16,0.7568560579424795,0.7568560985719758,1.1546596968420095e-07,Geom
2016-17,0.7718362922286791,0.7718424746991304,1.2057140675290385e-08,Poisson
2017-18,0.7672703898362764,0.7672701171236714,1.4708617811107956e-07,Geom
2018-19,0.7663704230359047,0.7663704196687766,9.999999999999996e-11,Poisson
2019-20,0.7729954661201167,0.7729954639338797,9.999999999999996e-11,Poisson
2020-21,0.7773571184120466,0.7773571004828246,1.1253517474203996e-07,Geom
2021-22,0.77480665880194,0.7748066530688614,9.999999999999996e-11,Poisson
2022-23,0.7817363388931537,0.7817363365458837,9.999999999999996e-11,Poisson
2023-24,0.7843336916143387,0.7843327866368112,9.134027328917033e-09,Poisson
2024-25,0.7798465144412521,0.7798464900000701,1.12535162055095e-07,Bernoulli
