edge,mean,min,max,count
FOUL->FTA,1.2378913277787693,1.1868126645652908,1.2969596842455375,10
FOUL->LOOSE,0.06368179473212811,0.05570256193599929,0.06899101005546456,9
FOUL->PERS,0.3753592814513408,0.31917558498944676,0.417498197713828,10
FTA->FTM,0.7733413940731885,0.7568560985719758,0.7843327866368112,10
