season,game_id,period,team_id,FOUL,FTA,FTM,SHOT_FOUL_DRAWN,PERS_FOUL_DRAWN,MISS_FT,LOOSE_BALL_FOUL_DRAWN
2016-17,21600012,2,1610612756,2,2,0,1,1,2,0
2016-17,21600012,2,1610612758,5,4,2,2,3,2,0
2016-17,21600012,3,1610612756,6,10,7,5,1,3,0
2016-17,21600012,3,1610612758,9,12,9,5,3,3,0
2016-17,21600012,4,1610612756,6,11,8,5,0,3,0
2016-17,21600012,4,1610612758,6,4,3,0,6,1,0
2016-17,21600013,1,1610612745,4,7,4,3,1,3,0
2016-17,21600013,1,1610612747,4,1,1,1,2,0,1
2016-17,21600013,2,1610612745,5,6,3,3,2,3,0
2016-17,21600013,2,1610612747,5,8,5,4,1,3,0
2016-17,21600013,3,1610612745,8,6,6,2,4,0,0
2016-17,21600013,3,1610612747,3,2,2,1,2,0,0
2016-17,21600013,4,1610612745,6,8,6,2,4,2,0
2016-17,21600013,4,1610612747,7,11,10,5,2,1,0
2016-17,21600014,1,1610612737,5,7,7,4,1,0,0
2016-17,21600014,1,1610612764,1,0,0,0,1,0,0
2016-17,21600014,2,1610612737,6,8,7,3,2,1,1
2016-17,21600014,2,1610612764,7,7,5,2,4,2,1
2016-17,21600014,3,1610612737,3,1,0,1,1,1,1
2016-17,21600014,3,1610612764,6,7,6,2,2,1,1
2016-17,21600014,4,1610612737,3,2,0,1,2,2,0
2016-17,21600014,4,1610612764,3,4,2,2,1,2,0
2016-17,21600015,1,1610612738,4,4,2,2,2,2,0
2016-17,21600015,1,1610612741,6,8,5,2,4,3,0
2016-17,21600015,2,1610612738,6,5,4,2,1,1,1
2016-17,21600015,2,1610612741,5,5,5,3,1,0,1
2016-17,21600015,3,1610612738,3,3,1,2,1,2,0
2016-17,21600015,3,1610612741,6,10,6,4,0,4,2
2016-17,21600015,4,1610612738,8,12,8,6,2,4,0
2016-17,21600015,4,1610612741,6,7,6,2,3,1,1
2016-17,21600016,1,1610612758,5,7,7,3,2,0,0
2016-17,21600016,1,1610612759,5,7,6,4,1,1,0
2016-17,21600016,2,1610612758,8,13,11,4,4,2,0
2016-17,21600016,2,1610612759,3,4,3,2,1,1,0
2016-17,21600016,3,1610612758,6,10,8,4,1,2,1
2016-17,21600016,3,1610612759,5,5,5,3,1,0,1
2016-17,21600016,4,1610612758,6,8,6,3,3,2,0
2016-17,21600016,4,1610612759,6,11,10,4,2,1,0
2016-17,21600017,1,1610612746,6,4,4,1,3,0,2
2016-17,21600017,1,1610612757,4,3,2,2,1,1,1
2016-17,21600017,2,1610612746,10,17,10,7,3,7,0
2016-17,21600017,2,1610612757,8,11,9,2,6,2,0
2016-17,21600017,3,1610612746,3,2,2,1,1,0,0
2016-17,21600017,3,1610612757,4,5,5,3,1,0,0
2016-17,21600017,4,1610612746,13,23,16,5,6,7,0
2016-17,21600017,4,1610612757,8,13,8,4,3,5,1
2016-17,21600018,1,1610612739,1,3,3,1,0,0,0
2016-17,21600018,1,1610612761,0,0,0,0,0,0,0
2016-17,21600018,2,1610612739,5,6,4,2,3,2,0
2016-17,21600018,2,1610612761,2,4,4,2,0,0,0
2016-17,21600018,3,1610612739,4,5,3,2,2,2,0
2016-17,21600018,3,1610612761,3,5,5,3,0,0,0
2016-17,21600018,4,1610612739,5,8,6,4,1,2,0
2016-17,21600018,4,1610612761,8,9,8,4,3,1,1
2016-17,21600019,1,1610612751,4,2,2,1,3,0,0
2016-17,21600019,1,1610612754,5,5,3,2,2,2,1
2016-17,21600019,2,1610612751,2,2,2,1,1,0,0
2016-17,21600019,2,1610612754,6,5,4,1,5,1,0
2016-17,21600019,3,1610612751,6,7,5,3,3,2,0
2016-17,21600019,3,1610612754,4,6,4,2,2,2,0
2016-17,21600019,4,1610612751,8,9,8,3,5,1,0
2016-17,21600019,4,1610612754,4,4,2,2,2,2,0
2016-17,21600020,1,1610612753,2,4,2,2,0,2,0
2016-17,21600020,1,1610612765,2,0,0,0,2,0,0
2016-17,21600020,2,1610612753,1,3,1,1,0,2,0
2016-17,21600020,2,1610612765,3,1,1,1,2,0,0
2016-17,21600020,3,1610612753,3,2,2,1,2,0,0
2016-17,21600020,3,1610612765,4,3,3,1,3,0,0
2016-17,21600020,4,1610612753,4,3,3,2,2,0,0
2016-17,21600020,4,1610612765,4,2,1,1,2,1,1
2016-17,21600021,1,1610612756,4,6,4,4,0,2,0
2016-17,21600021,1,1610612760,4,6,5,3,1,1,0
2016-17,21600021,2,1610612756,4,4,3,2,1,1,1
2016-17,21600021,2,1610612760,5,4,2,2,1,2,2
2016-17,21600021,3,1610612756,8,13,8,6,1,5,0
2016-17,21600021,3,1610612760,8,14,10,7,1,4,0
2016-17,21600021,4,1610612756,4,6,4,3,0,2,1
2016-17,21600021,4,1610612760,6,11,8,5,0,3,1
2016-17,21600022,1,1610612748,3,4,4,2,1,0,0
2016-17,21600022,1,1610612766,2,4,4,2,0,0,0
2016-17,21600022,2,1610612748,6,9,5,4,1,4,1
2016-17,21600022,2,1610612766,7,13,11,5,2,2,0
2016-17,21600022,3,1610612748,4,5,2,2,2,3,0
2016-17,21600022,3,1610612766,5,5,4,2,2,1,1
2016-17,21600022,4,1610612748,4,2,2,1,2,0,1
2016-17,21600022,4,1610612766,4,2,1,0,4,1,0
2016-17,21600023,1,1610612742,1,0,0,0,1,0,0
2016-17,21600023,1,1610612745,2,3,3,1,1,0,0
2016-17,21600023,2,1610612742,7,12,9,5,2,3,0
2016-17,21600023,2,1610612745,6,10,7,4,1,3,1
2016-17,21600023,3,1610612742,2,1,1,1,1,0,0
2016-17,21600023,3,1610612745,3,5,3,2,1,2,0
2016-17,21600023,4,1610612742,8,11,10,4,3,1,1
2016-17,21600023,4,1610612745,8,13,12,2,6,1,0
2016-17,21600024,1,1610612747,3,6,4,3,0,2,0
2016-17,21600024,1,1610612762,3,6,4,3,0,2,0
2016-17,21600024,2,1610612747,6,9,6,4,1,3,0
2016-17,21600024,2,1610612762,7,10,8,6,1,2,0
2016-17,21600024,3,1610612747,2,1,1,0,2,0,0
2016-17,21600024,3,1610612762,8,11,6,3,4,5,1
2016-17,21600024,4,1610612747,4,5,5,2,1,0,1
2016-17,21600024,4,1610612762,8,13,10,3,5,3,0
2016-17,21600025,1,1610612740,6,9,6,5,1,3,0
2016-17,21600025,1,1610612744,3,5,5,3,0,0,0
2016-17,21600025,2,1610612740,5,5,4,2,2,1,1
2016-17,21600025,2,1610612744,5,5,3,2,3,2,0
2016-17,21600025,3,1610612740,2,2,1,1,0,1,1
2016-17,21600025,3,1610612744,8,10,9,3,5,1,0
2016-17,21600025,4,1610612740,7,7,4,4,1,3,2
2016-17,21600025,4,1610612744,7,8,8,1,6,0,0
2016-17,21600026,1,1610612737,6,3,1,1,5,2,0
2016-17,21600026,1,1610612755,3,3,1,1,0,2,2
2016-17,21600026,2,1610612737,5,6,4,3,2,2,0
2016-17,21600026,2,1610612755,3,4,3,2,1,1,0
2016-17,21600026,3,1610612737,4,8,6,4,0,2,0
2016-17,21600026,3,1610612755,5,8,7,3,2,1,0
2016-17,21600026,4,1610612737,3,6,4,3,0,2,0
2016-17,21600026,4,1610612755,2,0,0,0,2,0,0
