season,game_id,period,team_id,FOUL,FTA,FTM,PERS_FOUL_DRAWN,LOOSE_BALL_FOUL_DRAWN
2022-23,22200001,1,1610612738,5,8,6,1,0
2022-23,22200001,1,1610612755,9,14,11,2,1
2022-23,22200001,2,1610612738,6,8,7,3,0
2022-23,22200001,2,1610612755,4,3,3,2,0
2022-23,22200001,3,1610612738,7,11,8,2,1
2022-23,22200001,3,1610612755,6,7,6,3,0
2022-23,22200001,4,1610612738,3,1,1,2,0
2022-23,22200001,4,1610612755,4,4,4,1,1
2022-23,22200002,1,1610612744,7,12,8,1,3
2022-23,22200002,1,1610612747,6,7,5,2,0
2022-23,22200002,2,1610612744,5,6,4,1,1
2022-23,22200002,2,1610612747,7,6,4,2,3
2022-23,22200002,3,1610612744,3,4,4,1,0
2022-23,22200002,3,1610612747,3,4,4,1,0
2022-23,22200002,4,1610612744,2,1,1,1,0
2022-23,22200002,4,1610612747,5,8,6,2,0
2022-23,22200003,1,1610612753,6,7,4,4,0
2022-23,22200003,1,1610612765,6,3,3,4,0
2022-23,22200003,2,1610612753,5,5,4,1,1
2022-23,22200003,2,1610612765,8,10,9,3,1
2022-23,22200003,3,1610612753,5,4,3,4,0
2022-23,22200003,3,1610612765,2,2,0,1,0
2022-23,22200003,4,1610612753,5,3,3,3,0
2022-23,22200003,4,1610612765,7,9,7,1,2
2022-23,22200004,1,1610612754,2,4,4,0,0
2022-23,22200004,1,1610612764,5,9,6,1,0
2022-23,22200004,2,1610612754,3,2,2,1,1
2022-23,22200004,2,1610612764,3,6,4,0,0
2022-23,22200004,3,1610612754,4,6,5,1,0
2022-23,22200004,3,1610612764,3,2,2,2,0
2022-23,22200004,4,1610612754,6,9,3,0,0
2022-23,22200004,4,1610612764,6,7,7,3,1
2022-23,22200005,1,1610612737,4,6,4,1,0
2022-23,22200005,1,1610612745,4,3,3,3,0
2022-23,22200005,2,1610612737,3,3,3,1,0
2022-23,22200005,2,1610612745,4,4,3,2,0
2022-23,22200005,3,1610612737,5,8,7,2,0
2022-23,22200005,3,1610612745,3,4,4,1,0
2022-23,22200005,4,1610612737,6,7,6,5,0
2022-23,22200005,4,1610612745,4,4,4,0,2
2022-23,22200006,1,1610612740,1,2,1,0,0
2022-23,22200006,1,1610612751,2,2,2,1,0
2022-23,22200006,2,1610612740,4,2,2,2,0
2022-23,22200006,2,1610612751,8,9,6,3,1
2022-23,22200006,3,1610612740,11,14,11,4,0
2022-23,22200006,3,1610612751,4,6,5,2,0
2022-23,22200006,4,1610612740,6,7,4,4,0
2022-23,22200006,4,1610612751,7,7,5,2,0
2022-23,22200007,1,1610612741,4,6,5,0,0
2022-23,22200007,1,1610612748,4,6,5,1,0
2022-23,22200007,2,1610612741,6,8,6,0,3
2022-23,22200007,2,1610612748,3,6,5,0,0
2022-23,22200007,3,1610612741,6,8,6,1,0
2022-23,22200007,3,1610612748,7,8,8,5,0
2022-23,22200007,4,1610612741,5,6,4,2,0
2022-23,22200007,4,1610612748,8,8,4,5,0
2022-23,22200008,1,1610612739,5,4,3,4,0
2022-23,22200008,1,1610612761,6,12,8,1,1
2022-23,22200008,2,1610612739,3,3,3,1,0
2022-23,22200008,2,1610612761,4,7,5,1,0
2022-23,22200008,3,1610612739,6,8,6,3,0
2022-23,22200008,3,1610612761,7,9,7,2,1
2022-23,22200008,4,1610612739,5,8,7,3,0
2022-23,22200008,4,1610612761,3,4,3,2,0
2022-23,22200009,1,1610612752,3,2,1,0,1
2022-23,22200009,1,1610612763,4,6,5,1,0
2022-23,22200009,2,1610612752,3,3,2,1,0
2022-23,22200009,2,1610612763,4,2,1,2,1
2022-23,22200009,3,1610612752,4,7,6,0,1
2022-23,22200009,3,1610612763,4,1,1,3,0
2022-23,22200009,4,1610612752,4,6,6,0,0
2022-23,22200009,4,1610612763,8,11,7,1,3
2022-23,22200010,1,1610612750,4,6,6,0,0
2022-23,22200010,1,1610612760,3,3,2,1,0
2022-23,22200010,2,1610612750,5,4,3,2,1
2022-23,22200010,2,1610612760,4,6,4,1,0
2022-23,22200010,3,1610612750,6,8,7,3,1
2022-23,22200010,3,1610612760,7,8,7,2,1
2022-23,22200010,4,1610612750,9,15,11,6,0
2022-23,22200010,4,1610612760,3,5,5,1,0
2022-23,22200011,1,1610612759,2,4,2,0,0
2022-23,22200011,1,1610612766,4,6,4,0,0
2022-23,22200011,2,1610612759,7,7,5,3,0
2022-23,22200011,2,1610612766,4,5,5,1,0
2022-23,22200011,3,1610612759,2,3,2,0,0
2022-23,22200011,3,1610612766,7,8,7,5,1
2022-23,22200011,4,1610612759,4,7,6,0,0
2022-23,22200011,4,1610612766,2,4,4,1,0
2022-23,22200012,1,1610612743,6,6,5,3,1
2022-23,22200012,1,1610612762,1,2,1,0,0
2022-23,22200012,2,1610612743,4,2,2,3,0
2022-23,22200012,2,1610612762,7,11,7,2,0
2022-23,22200012,3,1610612743,5,7,7,2,0
2022-23,22200012,3,1610612762,5,8,5,1,0
2022-23,22200012,4,1610612743,2,3,3,1,0
2022-23,22200012,4,1610612762,6,10,10,2,0
2022-23,22200013,1,1610612742,5,7,4,2,0
2022-23,22200013,1,1610612756,3,3,2,1,0
2022-23,22200013,2,1610612742,8,13,8,2,1
2022-23,22200013,2,1610612756,6,6,5,3,1
2022-23,22200013,3,1610612742,6,6,4,4,1
2022-23,22200013,3,1610612756,9,10,9,5,1
2022-23,22200013,4,1610612742,6,8,5,2,0
2022-23,22200013,4,1610612756,3,3,3,1,1
2022-23,22200014,1,1610612757,9,14,11,4,0
2022-23,22200014,1,1610612758,5,10,6,0,0
2022-23,22200014,2,1610612757,4,6,3,0,1
2022-23,22200014,2,1610612758,5,6,5,3,0
2022-23,22200014,3,1610612757,5,6,5,2,0
2022-23,22200014,3,1610612758,3,2,1,2,0
2022-23,22200014,4,1610612757,6,7,7,4,0
2022-23,22200014,4,1610612758,3,1,1,1,1
2022-23,22200015,1,1610612749,2,1,1,1,0
2022-23,22200015,1,1610612755,5,5,3,2,0
2022-23,22200015,2,1610612749,2,2,1,1,0
2022-23,22200015,2,1610612755,1,0,0,1,0
2022-23,22200015,3,1610612749,3,2,1,2,0
2022-23,22200015,3,1610612755,3,4,4,1,0
2022-23,22200015,4,1610612749,5,9,6,2,0
2022-23,22200015,4,1610612755,5,4,4,2,2
2022-23,22200016,1,1610612746,6,10,8,1,1
2022-23,22200016,1,1610612747,5,5,4,3,0
2022-23,22200016,2,1610612746,3,3,1,1,0
2022-23,22200016,2,1610612747,6,5,5,3,1
2022-23,22200016,3,1610612746,8,12,7,5,0
