season,game_id,period,team_id,FOUL,FTA,FTM,PERS_FOUL_DRAWN,LOOSE_BALL_FOUL_DRAWN
2024-25,22400014,1,1610612752,3,5,4,0,0
2024-25,22400014,2,1610612751,6,8,8,4,0
2024-25,22400014,2,1610612752,6,8,7,3,0
2024-25,22400014,3,1610612751,5,7,5,2,0
2024-25,22400014,3,1610612752,6,9,7,3,0
2024-25,22400014,4,1610612751,9,11,10,2,2
2024-25,22400014,4,1610612752,6,6,5,3,0
2024-25,22400015,1,1610612747,6,8,8,2,0
2024-25,22400015,1,1610612759,3,4,3,0,1
2024-25,22400015,2,1610612747,4,2,2,2,1
2024-25,22400015,2,1610612759,3,6,3,0,0
2024-25,22400015,3,1610612747,2,3,2,0,0
2024-25,22400015,3,1610612759,1,0,0,1,0
2024-25,22400015,4,1610612747,6,10,6,2,1
2024-25,22400015,4,1610612759,4,6,6,1,0
2024-25,22400016,1,1610612745,2,4,3,0,0
2024-25,22400016,1,1610612746,5,4,2,3,1
2024-25,22400016,2,1610612745,6,8,6,3,1
2024-25,22400016,2,1610612746,3,1,1,2,0
2024-25,22400016,3,1610612745,2,2,1,1,0
2024-25,22400016,3,1610612746,7,10,9,4,0
2024-25,22400016,4,1610612745,3,4,4,0,0
2024-25,22400016,4,1610612746,10,18,14,2,2
2024-25,22400017,1,1610612740,2,2,2,1,0
2024-25,22400017,1,1610612743,2,2,2,1,0
2024-25,22400017,2,1610612740,4,4,4,2,0
2024-25,22400017,2,1610612743,1,1,1,0,0
2024-25,22400017,3,1610612740,5,8,7,0,0
2024-25,22400017,3,1610612743,5,8,7,1,1
2024-25,22400017,4,1610612740,5,4,3,2,1
2024-25,22400017,4,1610612743,4,0,0,2,2
2024-25,22400018,1,1610612756,6,8,7,3,0
2024-25,22400018,1,1610612760,1,1,1,0,0
2024-25,22400018,2,1610612756,5,9,4,0,0
2024-25,22400018,2,1610612760,1,2,2,0,0
2024-25,22400018,3,1610612756,4,8,6,0,0
2024-25,22400018,3,1610612760,5,5,5,2,0
2024-25,22400018,4,1610612756,10,15,13,4,0
2024-25,22400018,4,1610612760,7,10,9,4,0
2024-25,22400019,1,1610612744,2,2,2,1,0
2024-25,22400019,1,1610612763,3,4,3,2,0
