season,game_id,period,team_id,FOUL,FTA,FTM,SHOT_FOUL_DRAWN,PERS_FOUL_DRAWN,MISS_FT,LOOSE_BALL_FOUL_DRAWN
2015-16,21500001,1,1610612737,2,2,2,1,1,0,0
2015-16,21500001,1,1610612765,4,5,2,3,0,3,1
2015-16,21500001,2,1610612737,3,2,1,1,2,1,0
2015-16,21500001,2,1610612765,2,0,0,0,2,0,0
2015-16,21500001,3,1610612737,2,1,1,1,1,0,0
2015-16,21500001,3,1610612765,7,7,6,2,4,1,1
2015-16,21500001,4,1610612737,7,10,8,2,5,2,0
2015-16,21500001,4,1610612765,9,14,12,2,6,2,1
2015-16,21500002,1,1610612739,2,0,0,0,2,0,0
2015-16,21500002,1,1610612741,7,7,6,1,6,1,0
2015-16,21500002,2,1610612739,6,7,3,2,2,4,2
2015-16,21500002,2,1610612741,4,2,0,1,2,2,1
2015-16,21500002,3,1610612739,5,6,3,3,2,3,0
2015-16,21500002,3,1610612741,3,2,1,2,1,1,0
2015-16,21500002,4,1610612739,5,4,4,2,2,0,1
2015-16,21500002,4,1610612741,7,12,9,4,3,3,0
2015-16,21500003,1,1610612740,5,8,6,4,1,2,0
2015-16,21500003,1,1610612744,5,5,4,3,2,1,0
2015-16,21500003,2,1610612740,4,5,1,1,2,4,1
2015-16,21500003,2,1610612744,4,3,3,2,2,0,0
2015-16,21500003,3,1610612740,7,12,10,3,2,2,1
2015-16,21500003,3,1610612744,8,10,9,4,4,1,0
2015-16,21500003,4,1610612740,5,2,2,1,3,0,1
2015-16,21500003,4,1610612744,5,4,4,2,1,0,2
2015-16,21500004,1,1610612753,4,2,1,1,3,1,0
2015-16,21500004,1,1610612764,6,7,5,4,2,2,0
2015-16,21500004,2,1610612753,2,4,2,2,0,2,0
2015-16,21500004,2,1610612764,7,8,3,3,2,5,2
2015-16,21500004,3,1610612753,4,0,0,0,4,0,0
2015-16,21500004,3,1610612764,4,6,4,3,1,2,0
2015-16,21500004,4,1610612753,4,6,5,3,1,1,0
2015-16,21500004,4,1610612764,3,4,3,2,1,1,0
2015-16,21500005,1,1610612738,3,4,4,2,0,0,1
2015-16,21500005,1,1610612755,3,2,2,1,2,0,0
2015-16,21500005,2,1610612738,5,7,6,4,1,1,0
2015-16,21500005,2,1610612755,6,6,4,2,4,2,0
2015-16,21500005,3,1610612738,5,6,6,2,1,0,2
2015-16,21500005,3,1610612755,5,5,5,3,2,0,0
2015-16,21500005,4,1610612738,6,10,10,4,1,0,1
2015-16,21500005,4,1610612755,7,10,9,5,2,1,0
2015-16,21500006,1,1610612741,4,3,3,2,2,0,0
2015-16,21500006,1,1610612751,2,3,3,2,0,0,0
2015-16,21500006,2,1610612741,4,4,4,1,3,0,0
2015-16,21500006,2,1610612751,6,5,4,2,4,1,0
2015-16,21500006,3,1610612741,8,11,9,3,3,2,2
2015-16,21500006,3,1610612751,4,5,4,2,2,1,0
2015-16,21500006,4,1610612741,2,2,1,1,1,1,0
2015-16,21500006,4,1610612751,10,15,11,6,4,4,0
2015-16,21500007,1,1610612762,2,2,1,1,1,1,0
2015-16,21500007,1,1610612765,3,4,4,2,1,0,0
2015-16,21500007,2,1610612762,4,3,2,1,2,1,1
2015-16,21500007,2,1610612765,6,12,6,5,1,6,0
2015-16,21500007,3,1610612762,6,8,6,4,2,2,0
2015-16,21500007,3,1610612765,5,8,5,4,1,3,0
2015-16,21500007,4,1610612762,5,8,6,4,0,2,1
2015-16,21500007,4,1610612765,6,10,10,3,2,0,1
2015-16,21500008,1,1610612748,6,8,8,2,4,0,0
2015-16,21500008,1,1610612766,4,4,2,3,1,2,0
2015-16,21500008,2,1610612748,2,2,1,1,1,1,0
2015-16,21500008,2,1610612766,2,0,0,0,2,0,0
2015-16,21500008,3,1610612748,2,5,5,2,0,0,0
2015-16,21500008,3,1610612766,5,9,7,4,1,2,0
2015-16,21500008,4,1610612748,4,6,6,1,3,0,0
2015-16,21500008,4,1610612766,10,16,13,2,7,3,1
2015-16,21500009,1,1610612754,6,8,8,4,0,0,2
2015-16,21500009,1,1610612761,4,6,2,3,1,4,0
2015-16,21500009,2,1610612754,4,2,1,1,3,1,0
2015-16,21500009,2,1610612761,7,9,5,5,2,4,0
2015-16,21500009,3,1610612754,2,4,4,2,0,0,0
2015-16,21500009,3,1610612761,8,9,7,4,2,2,2
2015-16,21500009,4,1610612754,10,17,13,8,2,4,0
2015-16,21500009,4,1610612761,9,15,13,4,4,2,1
2015-16,21500010,1,1610612743,3,4,3,2,1,1,0
2015-16,21500010,1,1610612745,3,4,2,2,1,2,0
2015-16,21500010,2,1610612743,3,2,1,1,1,1,1
2015-16,21500010,2,1610612745,4,3,2,2,1,1,1
2015-16,21500010,3,1610612743,5,6,4,3,2,2,0
2015-16,21500010,3,1610612745,5,4,4,1,4,0,0
2015-16,21500010,4,1610612743,6,6,4,1,4,2,1
2015-16,21500010,4,1610612745,11,15,9,6,4,6,1
2015-16,21500011,1,1610612739,2,2,1,1,0,1,1
2015-16,21500011,1,1610612763,4,2,2,1,3,0,0
2015-16,21500011,2,1610612739,2,2,2,2,0,0,0
2015-16,21500011,2,1610612763,4,6,5,3,0,1,1
