season,game_id,period,team_id,FOUL,FTA,FTM,SHOT_FOUL_DRAWN,PERS_FOUL_DRAWN,MISS_FT,LOOSE_BALL_FOUL_DRAWN
2019-20,21900001,1,1610612740,2,2,2,0,2,0,0
2019-20,21900001,1,1610612761,8,9,8,4,3,1,1
2019-20,21900001,2,1610612740,5,5,5,3,2,0,0
2019-20,21900001,2,1610612761,6,9,8,4,2,1,0
2019-20,21900001,3,1610612740,4,3,3,2,2,0,0
2019-20,21900001,3,1610612761,6,7,5,2,3,2,1
2019-20,21900001,4,1610612740,5,10,7,4,1,3,0
2019-20,21900001,4,1610612761,8,10,8,4,3,2,1
2019-20,21900002,1,1610612746,6,6,6,3,3,0,0
2019-20,21900002,1,1610612747,6,9,5,3,3,4,0
2019-20,21900002,2,1610612746,7,6,2,3,3,4,1
2019-20,21900002,2,1610612747,8,9,8,3,3,1,1
2019-20,21900002,3,1610612746,3,3,2,1,2,1,0
2019-20,21900002,3,1610612747,4,3,2,2,2,1,0
2019-20,21900002,4,1610612746,7,9,7,4,2,2,0
2019-20,21900002,4,1610612747,2,0,0,0,2,0,0
2019-20,21900003,1,1610612741,5,6,5,3,2,1,0
2019-20,21900003,1,1610612766,6,5,5,2,4,0,0
2019-20,21900003,2,1610612741,3,4,3,2,0,1,1
2019-20,21900003,2,1610612766,4,0,0,0,4,0,0
2019-20,21900003,3,1610612741,3,3,3,1,1,0,1
2019-20,21900003,3,1610612766,4,5,4,3,1,1,0
2019-20,21900003,4,1610612741,5,9,7,5,0,2,0
2019-20,21900003,4,1610612766,4,6,4,1,3,2,0
2019-20,21900004,1,1610612754,2,3,1,1,0,2,1
2019-20,21900004,1,1610612765,5,6,5,2,3,1,0
2019-20,21900004,2,1610612754,3,2,2,1,1,0,1
2019-20,21900004,2,1610612765,4,4,2,2,2,2,0
2019-20,21900004,3,1610612754,10,15,13,4,5,2,1
2019-20,21900004,3,1610612765,7,9,7,5,2,2,0
2019-20,21900004,4,1610612754,4,4,4,3,1,0,0
2019-20,21900004,4,1610612765,8,14,12,3,4,2,1
2019-20,21900005,1,1610612739,2,2,0,1,1,2,0
2019-20,21900005,1,1610612753,3,4,3,1,1,1,1
2019-20,21900005,2,1610612739,5,5,5,2,3,0,0
2019-20,21900005,2,1610612753,4,5,3,3,1,2,0
2019-20,21900005,3,1610612739,5,6,4,3,2,2,0
2019-20,21900005,3,1610612753,1,0,0,0,1,0,0
2019-20,21900005,4,1610612739,3,2,1,1,2,1,0
2019-20,21900005,4,1610612753,6,10,5,4,2,5,0
2019-20,21900006,1,1610612750,4,4,3,2,1,1,1
2019-20,21900006,1,1610612751,4,4,3,2,2,1,0
2019-20,21900006,2,1610612750,4,7,6,3,1,1,0
2019-20,21900006,2,1610612751,7,9,4,2,5,5,0
2019-20,21900006,3,1610612750,7,6,3,2,5,3,0
2019-20,21900006,3,1610612751,3,4,2,2,1,2,0
2019-20,21900006,4,1610612750,7,9,8,3,4,1,0
2019-20,21900006,4,1610612751,4,5,3,2,1,2,1
2019-20,21900007,1,1610612748,5,7,5,3,1,2,0
2019-20,21900007,1,1610612763,8,7,6,2,5,1,1
2019-20,21900007,2,1610612748,9,15,13,5,4,2,0
2019-20,21900007,2,1610612763,7,7,5,4,3,2,0
2019-20,21900007,3,1610612748,8,13,11,4,4,2,0
2019-20,21900007,3,1610612763,5,6,5,3,2,1,0
2019-20,21900007,4,1610612748,3,4,4,2,1,0,0
2019-20,21900007,4,1610612763,9,10,4,2,5,6,1
2019-20,21900008,1,1610612738,5,7,5,4,1,2,0
2019-20,21900008,1,1610612755,6,5,4,2,4,1,0
2019-20,21900008,2,1610612738,6,6,3,3,1,3,2
2019-20,21900008,2,1610612755,10,18,13,6,3,5,1
2019-20,21900008,3,1610612738,8,8,3,3,3,5,1
2019-20,21900008,3,1610612755,6,8,7,3,3,1,0
2019-20,21900008,4,1610612738,9,13,9,5,3,4,0
2019-20,21900008,4,1610612755,5,5,2,2,2,3,1
2019-20,21900009,1,1610612742,8,12,10,4,3,2,1
2019-20,21900009,1,1610612764,5,4,4,1,3,0,1
2019-20,21900009,2,1610612742,6,5,5,2,4,0,0
2019-20,21900009,2,1610612764,8,9,7,4,4,2,0
2019-20,21900009,3,1610612742,8,12,10,4,2,2,1
2019-20,21900009,3,1610612764,4,2,1,2,2,1,0
2019-20,21900009,4,1610612742,6,4,2,1,4,2,0
2019-20,21900009,4,1610612764,1,3,3,1,0,0,0
2019-20,21900010,1,1610612752,2,0,0,0,1,0,1
2019-20,21900010,1,1610612759,4,4,1,2,2,3,0
2019-20,21900010,2,1610612752,5,7,5,5,0,2,0
2019-20,21900010,2,1610612759,8,12,10,4,3,2,1
2019-20,21900010,3,1610612752,4,3,2,2,1,1,1
2019-20,21900010,3,1610612759,7,8,8,4,3,0,0
2019-20,21900010,4,1610612752,6,8,6,4,2,2,0
2019-20,21900010,4,1610612759,9,12,10,5,4,2,0
2019-20,21900011,1,1610612760,4,4,2,2,2,2,0
2019-20,21900011,1,1610612762,5,4,2,3,2,2,0
2019-20,21900011,2,1610612760,7,7,6,2,4,1,1
2019-20,21900011,2,1610612762,6,8,4,3,3,4,0
2019-20,21900011,3,1610612760,8,7,6,2,5,1,1
2019-20,21900011,3,1610612762,3,2,2,1,2,0,0
2019-20,21900011,4,1610612760,8,13,7,5,3,6,0
2019-20,21900011,4,1610612762,6,6,6,1,4,0,1
2019-20,21900012,1,1610612756,3,1,1,1,1,0,1
2019-20,21900012,1,1610612758,4,4,2,3,1,2,0
2019-20,21900012,2,1610612756,7,9,9,4,3,0,0
2019-20,21900012,2,1610612758,4,5,4,3,0,1,1
2019-20,21900012,3,1610612756,5,3,1,1,3,2,1
2019-20,21900012,3,1610612758,6,7,6,1,4,1,1
2019-20,21900012,4,1610612756,3,5,4,2,1,1,0
2019-20,21900012,4,1610612758,7,10,5,4,2,5,1
2019-20,21900013,1,1610612743,3,3,2,2,1,1,0
2019-20,21900013,1,1610612757,5,7,7,3,1,0,1
2019-20,21900013,2,1610612743,5,10,9,4,1,1,0
2019-20,21900013,2,1610612757,3,7,7,3,0,0,0
2019-20,21900013,3,1610612743,2,2,1,1,1,1,0
2019-20,21900013,3,1610612757,3,2,1,1,1,1,1
2019-20,21900013,4,1610612743,9,12,10,1,8,2,0
2019-20,21900013,4,1610612757,6,7,6,3,1,1,2
2019-20,21900014,1,1610612737,3,3,3,2,1,0,0
2019-20,21900014,1,1610612765,3,3,3,2,0,0,1
2019-20,21900014,2,1610612737,3,5,4,3,0,1,0
2019-20,21900014,2,1610612765,2,3,2,1,0,1,1
2019-20,21900014,3,1610612737,5,2,2,1,4,0,0
2019-20,21900014,3,1610612765,5,8,8,3,1,0,1
2019-20,21900014,4,1610612737,7,11,9,5,2,2,0
2019-20,21900014,4,1610612765,4,8,7,4,0,1,0
2019-20,21900015,1,1610612745,5,11,10,5,0,1,0
2019-20,21900015,1,1610612749,6,3,1,2,4,2,0
2019-20,21900015,2,1610612745,6,7,3,4,2,4,0
2019-20,21900015,2,1610612749,2,2,0,1,1,2,0
2019-20,21900015,3,1610612745,5,6,4,3,2,2,0
2019-20,21900015,3,1610612749,9,11,6,5,4,5,0
2019-20,21900015,4,1610612745,9,15,12,7,1,3,1
2019-20,21900015,4,1610612749,3,2,2,1,2,0,0
2019-20,21900016,1,1610612744,1,3,3,1,0,0,0
2019-20,21900016,1,1610612746,6,9,8,5,1,1,0
2019-20,21900016,2,1610612744,3,4,4,2,1,0,0
2019-20,21900016,2,1610612746,6,12,9,5,1,3,0
2019-20,21900016,3,1610612744,9,13,13,4,5,0,0
2019-20,21900016,3,1610612746,4,5,5,3,0,0,1
2019-20,21900016,4,1610612744,7,10,9,4,2,1,0
2019-20,21900016,4,1610612746,2,4,1,2,0,3,0
2019-20,21900017,1,1610612738,4,2,2,1,3,0,0
2019-20,21900017,1,1610612761,5,6,4,2,3,2,0
2019-20,21900017,2,1610612738,7,9,8,4,2,1,1
2019-20,21900017,2,1610612761,4,2,2,1,3,0,0
2019-20,21900017,3,1610612738,5,1,1,0,2,0,2
2019-20,21900017,3,1610612761,5,5,4,2,1,1,2
2019-20,21900017,4,1610612738,3,4,4,1,2,0,0
2019-20,21900017,4,1610612761,4,4,4,2,2,0,0
2019-20,21900018,1,1610612750,10,12,8,4,6,4,0
2019-20,21900018,1,1610612766,2,4,2,2,0,2,0
2019-20,21900018,2,1610612750,6,7,6,3,2,1,1
2019-20,21900018,2,1610612766,9,13,5,6,2,8,1
2019-20,21900018,3,1610612750,7,10,8,5,2,2,0
2019-20,21900018,3,1610612766,3,4,3,2,1,1,0
2019-20,21900018,4,1610612750,3,2,1,1,2,1,0
2019-20,21900018,4,1610612766,4,5,3,3,1,2,0
2019-20,21900019,1,1610612751,7,12,10,5,1,2,1
2019-20,21900019,1,1610612752,4,5,2,2,1,3,1
2019-20,21900019,2,1610612751,6,4,3,2,1,1,2
2019-20,21900019,2,1610612752,7,11,8,4,2,3,1
2019-20,21900019,3,1610612751,7,14,6,5,1,8,1
2019-20,21900019,3,1610612752,7,9,6,2,3,3,2
2019-20,21900019,4,1610612751,5,4,4,1,4,0,0
2019-20,21900019,4,1610612752,4,3,0,2,2,3,0
2019-20,21900020,1,1610612741,1,0,0,0,1,0,0
2019-20,21900020,1,1610612763,5,8,7,3,1,1,1
2019-20,21900020,2,1610612741,5,7,5,3,1,2,1
2019-20,21900020,2,1610612763,4,4,3,2,2,1,0
2019-20,21900020,3,1610612741,4,1,1,1,3,0,0
2019-20,21900020,3,1610612763,5,4,3,1,4,1,0
2019-20,21900020,4,1610612741,9,16,12,5,1,4,3
2019-20,21900020,4,1610612763,5,4,1,2,3,3,0
2019-20,21900021,1,1610612740,3,1,1,1,2,0,0
2019-20,21900021,1,1610612742,5,6,4,3,2,2,0
2019-20,21900021,2,1610612740,4,5,5,2,2,0,0
2019-20,21900021,2,1610612742,6,8,7,3,3,1,0
2019-20,21900021,3,1610612740,4,4,2,2,2,2,0
2019-20,21900021,3,1610612742,2,3,2,2,0,1,0
2019-20,21900021,4,1610612740,5,5,3,2,3,2,0
2019-20,21900021,4,1610612742,7,9,6,3,4,3,0
2019-20,21900022,1,1610612760,5,6,3,3,1,3,1
2019-20,21900022,1,1610612764,4,0,0,0,4,0,0
