season,game_id,period,team_id,FOUL,FTA,FTM,PERS_FOUL_DRAWN,LOOSE_BALL_FOUL_DRAWN
2021-22,22100001,1,1610612749,2,3,2,0,0
2021-22,22100001,1,1610612751,4,6,4,1,0
2021-22,22100001,2,1610612749,5,5,4,0,2
2021-22,22100001,2,1610612751,1,0,0,1,0
2021-22,22100001,3,1610612749,6,9,7,3,0
2021-22,22100001,3,1610612751,7,11,5,1,0
2021-22,22100001,4,1610612749,3,1,1,1,1
2021-22,22100001,4,1610612751,6,6,4,3,1
2021-22,22100002,1,1610612744,6,7,7,4,0
2021-22,22100002,1,1610612747,6,8,4,2,1
2021-22,22100002,2,1610612744,3,3,2,1,0
2021-22,22100002,2,1610612747,3,4,3,0,1
2021-22,22100002,3,1610612744,6,12,8,2,0
2021-22,22100002,3,1610612747,4,4,1,3,0
2021-22,22100002,4,1610612744,7,8,8,6,0
2021-22,22100002,4,1610612747,3,3,1,2,0
2021-22,22100003,1,1610612754,4,7,6,1,0
2021-22,22100003,1,1610612766,4,4,1,0,1
2021-22,22100003,2,1610612754,7,10,9,4,0
2021-22,22100003,2,1610612766,5,6,4,1,2
2021-22,22100003,3,1610612754,1,0,0,1,0
2021-22,22100003,3,1610612766,6,6,5,5,0
2021-22,22100003,4,1610612754,6,7,6,4,0
2021-22,22100003,4,1610612766,8,11,8,3,1
2021-22,22100004,1,1610612741,2,2,0,1,0
2021-22,22100004,1,1610612765,4,2,1,3,0
2021-22,22100004,2,1610612741,5,2,2,2,3
2021-22,22100004,2,1610612765,5,5,4,2,0
2021-22,22100004,3,1610612741,3,5,5,0,0
2021-22,22100004,3,1610612765,3,2,1,2,0
2021-22,22100004,4,1610612741,5,6,6,5,0
2021-22,22100004,4,1610612765,4,4,4,1,0
2021-22,22100005,1,1610612738,4,5,3,2,0
2021-22,22100005,1,1610612752,5,7,4,1,0
2021-22,22100005,2,1610612738,4,7,5,0,0
2021-22,22100005,2,1610612752,5,8,6,2,0
2021-22,22100005,3,1610612738,5,6,5,2,1
2021-22,22100005,3,1610612752,5,7,5,1,0
2021-22,22100005,4,1610612738,4,2,2,3,0
2021-22,22100005,4,1610612752,4,4,3,3,0
2021-22,22100006,1,1610612761,3,4,3,1,0
2021-22,22100006,1,1610612764,2,1,1,1,0
2021-22,22100006,2,1610612761,2,3,2,1,0
2021-22,22100006,2,1610612764,7,9,7,2,0
2021-22,22100006,3,1610612761,7,12,8,3,1
