alpha_regime,sweep,kbar_in,anchor_d,anchor_N,d,method,true_family,selected_family,count,row_rate
common,kbar,1.0,8,3200,8,OracleDP,Poisson,ZIP,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Poisson,Geom,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Poisson,Binomial,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Poisson,Bernoulli,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,NB,Poisson,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,NB,NB,148,1.0
common,kbar,1.0,8,3200,8,OracleDP,NB,ZIP,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,NB,Geom,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,NB,Binomial,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,NB,Bernoulli,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,ZIP,Poisson,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,ZIP,NB,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,ZIP,ZIP,124,1.0
common,kbar,1.0,8,3200,8,OracleDP,ZIP,Geom,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,ZIP,Binomial,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,ZIP,Bernoulli,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Geom,Poisson,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Geom,NB,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Geom,ZIP,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Geom,Geom,146,1.0
common,kbar,1.0,8,3200,8,OracleDP,Geom,Binomial,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Geom,Bernoulli,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Binomial,Poisson,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Binomial,NB,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Binomial,ZIP,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Binomial,Geom,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Binomial,Binomial,124,1.0
common,kbar,1.0,8,3200,8,OracleDP,Binomial,Bernoulli,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Bernoulli,Poisson,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Bernoulli,NB,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Bernoulli,ZIP,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Bernoulli,Geom,0,0.0
common,kbar,1.0,8,3200,8,OracleDP,Bernoulli,Binomial,0,0.0
