alpha_regime,sweep,N,anchor_d,anchor_N,kbar_in,d,method,true_family,selected_family,count,row_rate
common,N,100.0,8,100,1.5,8,LibraryGreedy,Bernoulli,Geom,19,0.1366906474820144
common,N,100.0,8,100,1.5,8,LibraryGreedy,Bernoulli,Binomial,1,0.0071942446043165
common,N,100.0,8,100,1.5,8,LibraryGreedy,Bernoulli,Bernoulli,83,0.5971223021582733
common,N,100.0,8,100,1.5,8,OracleDP,Poisson,Poisson,119,1.0
common,N,100.0,8,100,1.5,8,OracleDP,Poisson,NB,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Poisson,ZIP,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Poisson,Geom,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Poisson,Binomial,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Poisson,Bernoulli,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,NB,Poisson,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,NB,NB,148,1.0
common,N,100.0,8,100,1.5,8,OracleDP,NB,ZIP,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,NB,Geom,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,NB,Binomial,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,NB,Bernoulli,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,ZIP,Poisson,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,ZIP,NB,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,ZIP,ZIP,124,1.0
common,N,100.0,8,100,1.5,8,OracleDP,ZIP,Geom,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,ZIP,Binomial,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,ZIP,Bernoulli,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Geom,Poisson,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Geom,NB,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Geom,ZIP,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Geom,Geom,146,1.0
common,N,100.0,8,100,1.5,8,OracleDP,Geom,Binomial,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Geom,Bernoulli,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Binomial,Poisson,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Binomial,NB,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Binomial,ZIP,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Binomial,Geom,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Binomial,Binomial,124,1.0
common,N,100.0,8,100,1.5,8,OracleDP,Binomial,Bernoulli,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Bernoulli,Poisson,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Bernoulli,NB,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Bernoulli,ZIP,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Bernoulli,Geom,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Bernoulli,Binomial,0,0.0
common,N,100.0,8,100,1.5,8,OracleDP,Bernoulli,Bernoulli,139,1.0
common,N,200.0,8,200,1.5,8,LibraryDP,Poisson,Poisson,111,0.9327731092436976
common,N,200.0,8,200,1.5,8,LibraryDP,Poisson,NB,4,0.0336134453781512
common,N,200.0,8,200,1.5,8,LibraryDP,Poisson,ZIP,0,0.0
common,N,200.0,8,200,1.5,8,LibraryDP,Poisson,Geom,1,0.0084033613445378
common,N,200.0,8,200,1.5,8,LibraryDP,Poisson,Binomial,2,0.0168067226890756
common,N,200.0,8,200,1.5,8,LibraryDP,Poisson,Bernoulli,1,0.0084033613445378
common,N,200.0,8,200,1.5,8,LibraryDP,NB,Poisson,33,0.2229729729729729
common,N,200.0,8,200,1.5,8,LibraryDP,NB,NB,88,0.5945945945945946
common,N,200.0,8,200,1.5,8,LibraryDP,NB,ZIP,1,0.0067567567567567
common,N,200.0,8,200,1.5,8,LibraryDP,NB,Geom,24,0.1621621621621621
common,N,200.0,8,200,1.5,8,LibraryDP,NB,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,LibraryDP,NB,Bernoulli,2,0.0135135135135135
common,N,200.0,8,200,1.5,8,LibraryDP,ZIP,Poisson,5,0.0403225806451612
common,N,200.0,8,200,1.5,8,LibraryDP,ZIP,NB,8,0.064516129032258
common,N,200.0,8,200,1.5,8,LibraryDP,ZIP,ZIP,95,0.7661290322580645
common,N,200.0,8,200,1.5,8,LibraryDP,ZIP,Geom,15,0.1209677419354838
common,N,200.0,8,200,1.5,8,LibraryDP,ZIP,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,LibraryDP,ZIP,Bernoulli,1,0.0080645161290322
common,N,200.0,8,200,1.5,8,LibraryDP,Geom,Poisson,0,0.0
common,N,200.0,8,200,1.5,8,LibraryDP,Geom,NB,25,0.1712328767123287
common,N,200.0,8,200,1.5,8,LibraryDP,Geom,ZIP,1,0.0068493150684931
common,N,200.0,8,200,1.5,8,LibraryDP,Geom,Geom,120,0.821917808219178
common,N,200.0,8,200,1.5,8,LibraryDP,Geom,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,LibraryDP,Geom,Bernoulli,0,0.0
common,N,200.0,8,200,1.5,8,LibraryDP,Binomial,Poisson,31,0.25
common,N,200.0,8,200,1.5,8,LibraryDP,Binomial,NB,2,0.0161290322580645
common,N,200.0,8,200,1.5,8,LibraryDP,Binomial,ZIP,1,0.0080645161290322
common,N,200.0,8,200,1.5,8,LibraryDP,Binomial,Geom,2,0.0161290322580645
common,N,200.0,8,200,1.5,8,LibraryDP,Binomial,Binomial,85,0.6854838709677419
common,N,200.0,8,200,1.5,8,LibraryDP,Binomial,Bernoulli,3,0.0241935483870967
common,N,200.0,8,200,1.5,8,LibraryDP,Bernoulli,Poisson,28,0.2014388489208633
common,N,200.0,8,200,1.5,8,LibraryDP,Bernoulli,NB,2,0.014388489208633
common,N,200.0,8,200,1.5,8,LibraryDP,Bernoulli,ZIP,0,0.0
common,N,200.0,8,200,1.5,8,LibraryDP,Bernoulli,Geom,16,0.1151079136690647
common,N,200.0,8,200,1.5,8,LibraryDP,Bernoulli,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,LibraryDP,Bernoulli,Bernoulli,93,0.6690647482014388
common,N,200.0,8,200,1.5,8,LibraryGreedy,Poisson,Poisson,108,0.907563025210084
common,N,200.0,8,200,1.5,8,LibraryGreedy,Poisson,NB,5,0.042016806722689
common,N,200.0,8,200,1.5,8,LibraryGreedy,Poisson,ZIP,0,0.0
common,N,200.0,8,200,1.5,8,LibraryGreedy,Poisson,Geom,1,0.0084033613445378
common,N,200.0,8,200,1.5,8,LibraryGreedy,Poisson,Binomial,4,0.0336134453781512
common,N,200.0,8,200,1.5,8,LibraryGreedy,Poisson,Bernoulli,1,0.0084033613445378
common,N,200.0,8,200,1.5,8,LibraryGreedy,NB,Poisson,29,0.1959459459459459
common,N,200.0,8,200,1.5,8,LibraryGreedy,NB,NB,86,0.581081081081081
common,N,200.0,8,200,1.5,8,LibraryGreedy,NB,ZIP,2,0.0135135135135135
common,N,200.0,8,200,1.5,8,LibraryGreedy,NB,Geom,27,0.1824324324324324
common,N,200.0,8,200,1.5,8,LibraryGreedy,NB,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,LibraryGreedy,NB,Bernoulli,4,0.027027027027027
common,N,200.0,8,200,1.5,8,LibraryGreedy,ZIP,Poisson,6,0.0483870967741935
common,N,200.0,8,200,1.5,8,LibraryGreedy,ZIP,NB,10,0.0806451612903225
common,N,200.0,8,200,1.5,8,LibraryGreedy,ZIP,ZIP,91,0.7338709677419355
common,N,200.0,8,200,1.5,8,LibraryGreedy,ZIP,Geom,16,0.1290322580645161
common,N,200.0,8,200,1.5,8,LibraryGreedy,ZIP,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,LibraryGreedy,ZIP,Bernoulli,1,0.0080645161290322
common,N,200.0,8,200,1.5,8,LibraryGreedy,Geom,Poisson,1,0.0068493150684931
common,N,200.0,8,200,1.5,8,LibraryGreedy,Geom,NB,28,0.1917808219178082
common,N,200.0,8,200,1.5,8,LibraryGreedy,Geom,ZIP,1,0.0068493150684931
common,N,200.0,8,200,1.5,8,LibraryGreedy,Geom,Geom,116,0.7945205479452054
common,N,200.0,8,200,1.5,8,LibraryGreedy,Geom,Binomial,0,0.0
common,N,200.0,8,200,1.5,8,LibraryGreedy,Geom,Bernoulli,0,0.0
common,N,200.0,8,200,1.5,8,LibraryGreedy,Binomial,Poisson,30,0.2419354838709677
common,N,200.0,8,200,1.5,8,LibraryGreedy,Binomial,NB,3,0.0241935483870967
common,N,200.0,8,200,1.5,8,LibraryGreedy,Binomial,ZIP,1,0.0080645161290322
